name	commit	date	description	fp_bps_250ms	fp_bps_500ms	fp_bps_1000ms	best_val_fp_bps_250ms	best_val_fp_bps_500ms	best_val_fp_bps_1000ms	best_test_fp_bps_250ms	best_test_fp_bps_500ms	best_test_fp_bps_1000ms	best_ckpt_250ms	best_ckpt_500ms	best_ckpt_1000ms	gpu_memory_gb	train_time_hours	notes
baseline_v2	e5dea0a	2026-03-11	NeuroHorizon v2 baseline (POYO+ encoder + AR decoder; no prediction feedback)	0.2115	0.1744	0.1317	-	-	-	-	-	-	-	-	-	-	-	plan.md 1.3.4 results; obs=500ms; cont sampling; 10 sessions; 300 epochs
benchmark_ndt2	23469ca	2026-03-12	NDT2 benchmark (MAE encoder-decoder)	0.1691	0.1502	0.1079	-	-	-	-	-	-	-	-	-	-	-	4.8M params
benchmark_neuroformer	23469ca	2026-03-12	Neuroformer benchmark (GPT-style decoder)	0.1856	0.1583	0.1210	-	-	-	-	-	-	-	-	-	-	-	4.9M params
benchmark_ibl_mtm	23469ca	2026-03-12	IBL-MtM benchmark (causal encoder NDT1)	0.1749	0.1531	0.1001	-	-	-	-	-	-	-	-	-	-	-	10.7M params
20260320_latent_dynamics_decoder	32a1f5f	2026-03-20	GRU latent dynamics decoder	0.18824139456916678	0.09041394189477088	0.06744283392223616	0.1883	0.0902	0.0675	0.19659911592815865	0.08567585084392	0.06670525175554717	best.ckpt	best.ckpt	best.ckpt			obs=500ms; cont sampling; 10 sessions; 300 epochs; latent dynamics teacher-forced == rollout; best epochs=289/259/289
20260320_latent_dynamics_state_scaling	ef0f6fd	2026-03-20	Wider latent state 500ms gate		0.004812534165734346			0.0048			0.004850783933258459			best.ckpt				500ms gate only; obs=500ms; cont sampling; 10 sessions; 300 epochs; larger latent state regressed sharply vs 20260320_latent_dynamics_decoder
20260321_latent_dynamics_context_skip	4cbbbe0	2026-03-21	Context-conditioned latent dynamics 500ms gate		0.004720387458548343			0.0046			0.004797492442336305			best.ckpt				500ms gate only; obs=500ms; cont sampling; 10 sessions; 300 epochs; persistent pooled context injected into rollout inputs and output residual
20260322_latent_dynamics_mamba_gate	6f98786	2026-03-22	Mamba latent dynamics 500ms gate		0.005602157297582545			0.0056			0.005725651200914652			best.ckpt				500ms gate only; obs=500ms; cont sampling; 10 sessions; 300 epochs; latent dynamics backbone switched from GRU to Mamba with prev_latent rollout
