epoch,epoch_time,lr-SparseLamb/pg1,lr-SparseLamb/pg2,step,train_loss,val_loss,val_r2
,,0.002,0.002,97,,,
0,,,,97,2.7033941745758057,,
,,0.002,0.002,98,,,
0,,,,98,2.0374133586883545,,
,,0.002,0.002,99,,,
0,,,,99,2.251800298690796,,
,,0.002,0.002,100,,,
0,,,,100,3.350688934326172,,
,,0.002,0.002,101,,,
0,,,,101,3.0524239540100098,,
,,0.002,0.002,102,,,
0,,,,102,3.092033624649048,,
,,0.002,0.002,103,,,
0,,,,103,2.4134268760681152,,
,,0.002,0.002,104,,,
0,,,,104,2.2857627868652344,,
,,0.002,0.002,105,,,
0,,,,105,4.077810287475586,,
,,0.002,0.002,106,,,
0,,,,106,3.3601741790771484,,
,,0.002,0.002,107,,,
0,,,,107,3.002645254135132,,
,,0.002,0.002,108,,,
0,,,,108,4.562452793121338,,
,,0.002,0.002,109,,,
0,,,,109,6.162015438079834,,
,,0.002,0.002,110,,,
0,,,,110,3.158100128173828,,
,,0.002,0.002,111,,,
0,,,,111,3.9961390495300293,,
,,0.002,0.002,112,,,
0,,,,112,3.6075704097747803,,
,,0.002,0.002,113,,,
0,,,,113,3.1242523193359375,,
,,0.002,0.002,114,,,
0,,,,114,4.860672473907471,,
,,0.002,0.002,115,,,
0,,,,115,3.9922003746032715,,
,,0.002,0.002,116,,,
0,,,,116,4.442468643188477,,
,,0.002,0.002,117,,,
0,,,,117,3.9030544757843018,,
,,0.002,0.002,118,,,
0,,,,118,4.408984661102295,,
,,0.002,0.002,119,,,
0,,,,119,4.8184075355529785,,
,,0.002,0.002,120,,,
0,,,,120,3.6660003662109375,,
,,0.002,0.002,121,,,
0,,,,121,3.5436370372772217,,
,,0.002,0.002,122,,,
0,,,,122,4.282654762268066,,
,,0.002,0.002,123,,,
0,,,,123,4.180498123168945,,
,,0.002,0.002,124,,,
0,,,,124,2.777960777282715,,
,,0.002,0.002,125,,,
0,,,,125,3.3317854404449463,,
,,0.002,0.002,126,,,
0,,,,126,4.594827651977539,,
,,0.002,0.002,127,,,
0,,,,127,2.9609265327453613,,
,,0.002,0.002,128,,,
0,,,,128,3.4750709533691406,,
,,0.002,0.002,129,,,
0,,,,129,2.83766770362854,,
,,0.002,0.002,130,,,
0,,,,130,4.532543659210205,,
,,0.002,0.002,131,,,
0,,,,131,13.41364574432373,,
,,0.002,0.002,132,,,
0,,,,132,4.479418754577637,,
,,0.002,0.002,133,,,
0,,,,133,3.805795431137085,,
,,0.002,0.002,134,,,
0,,,,134,3.6695377826690674,,
,,0.002,0.002,135,,,
0,,,,135,2.8874077796936035,,
,,0.002,0.002,136,,,
